Dia;Horas Trabalhadas;Bugs Corrigidos;Tarefas Concluídas
Segunda-Feira;6;3;5
Terça-Feira;7;2;4
Quarta-Feira;8;1;6
Quinta-Feira;6;4;4
Sexta-Feira;7;3;5
Sábado;5;2;3
Domingo;4;1;2
Segunda-Feira;5;2;3
Terça-Feira;1;3;8
Quarta-Feira;2;2;1
Quinta-Feira;7;3;2
Sexta-Feira;5;2;9
Sábado;2;1;9
Domingo;3;3;5
Segunda-Feira;2;1;2
Terça-Feira;4;1;4
Quarta-Feira;6;2;6
Quinta-Feira;7;4;5
Sexta-Feira;2;3;3
Sábado;4;1;2
Domingo;1;3;7
Segunda-Feira;2;3;1
Terça-Feira;4;2;6
Quarta-Feira;1;4;7
Quinta-Feira;4;2;1
Sexta-Feira;6;4;1
Sábado;2;1;7
Domingo;5;2;9
Segunda-Feira;3;4;7
Terça-Feira;1;3;5
